NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,432.0
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,453.4
b38a03232f43b11c9d0788abaf060f7366053b6d,598.9
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.0
715494628a50142ce8cb17191cfe6d0f3cae0934,536.1
e656d6bad65c93fb2880f1eba5037008c8e75774,470.9
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,513.4
11539e86171bf07d3a36f09377d7f54ebcc8406a,440.4
043c544a2104aa8a9849f1a703a08d37a2f16839,475.6
76ba050e64ad100b856f0eaabd8f539d5c7dd185,447.4
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0.0
db4da599aab5bb08dce27094a35fd3e36cd0abce,0.0
940aede382ccb332fab15d413217695ec44ca765,453.2
9ad714b116da76d878dd399d187fccc2dd13dd63,591.4
dd34464a4d780b12a089347ad580418ac57a3055,519.3
f837a4cb05a5fd59d20138182f5e8c721eadd584,462.5
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.0
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.0
8b0c675d7fde14953668269d378c588f0df0498b,0.0
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,427.1
3d203727f27abd83b71732d88d8cb1cc099f363b,446.0
d30d31c8ff45094e9a992c63d4a6f68b245a341a,0.0
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0.0
cbc301183dec912f3513ca766bf03dd565f3a38f,463.5
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,666.8
11282da1ee78c8db45a041db4c744e33df489df0,445.5
03c67f683a415c2ea09b582248bd4cb08528c19d,604.6
046e844fb06a07ba30b41521f0065a8d9c6e5024,424.2
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,438.6
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.0
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0.0
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,424.8
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,554.1
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,483.9
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,515.8
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,484.5
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,448.3
59bfa081e020013410d9f60f91813964ba749bb2,429.8
f5e069ee3bc95998464e8ff5da048b7f999921ed,444.8
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,620.2
664f44258212a1f7e4086f2b4845d586c543fa3f,478.7
265cd7befa74a9f2a198fc57baec9858075f8419,445.4
6f9ac44919bbd204e0ef15185388fd2d4bc61253,489.6
78de1ee60b55766cc3eba4089e36c57139b66ebd,452.1
24550edb10f283ef4e953fd6a8fedbfa211bd456,0.0
1e61a474acdc043eb39a89c17fab34bd2ea1a940,432.1
940af68ded6af2875708611051aa7ff3f134d80b,478.7
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,489.4
c76ddf6e9f80984e901b12f9462a3cf029bea290,454.3
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,454.4
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,0.0
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,0.0
92823d467a2ced9529801e0e8a94802dd88f0c17,435.6
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,573.1
413cbb38b2e2522f8167ffb9daeac1347b281393,468.0
68985fad004092956a4b4ce94dd53dc76d07eaf7,483.3
bdca9aeb19521675af15f2c28d86f6bebc45a834,489.6
b65b19d42b7a4b644fe9f99366dcb37b120862d9,438.6
eda898aa8ec465cbac70de72ead0c6d688e5f95a,436.3
5357b6c09be4c7f3829b72f80de846a9228253cb,0.0
8d5c4481d736f6ce27976e400f4245bf10757608,429.8
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,0.0
089613ac7dca24109f84c72a97c83b2768b1df1c,0.0
527773409bf373301dbd835e59a263c035c043b8,0.0
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,0.0
c4cea54435c0fd0e171eed4c215479bb3ca86113,446.5
7d5cd89c6112b9a202a025a24355135bc60848c6,462.9
b70ab62384aa80545928a311f5b5d3db2f4d87ee,542.6
c96431dd924f366d2229a7f1455388b8cd85be49,557.5
1b72da5bb82cc150ecfe71218c02f155d694230b,0.0
e429507efe1c2680cc464481850117d17083cd88,0.0
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,440.5
e724482370ae6126008ade80b564ad8d8a0a7cbd,447.4
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,657.6
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,0.0
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,469.2
7f898f8939ae054359f83ee154bb91bc7dd2c959,549.6
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,474.6
82e3b12c6366008fabc238f299f117074e78de5d,427.1
0d838be0e718ceb786cdb10fcc12559e00440240,476.2
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,484.7
5a9d89465845ac2d81366275cbb1a81d627efd36,0.0
c83fe640ba466ba904ac1055e53a875289888797,449.5
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,460.1
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,425.1
328639a0c753715c30a58bae70c82f2101153eb3,454.2
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,0.0
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,522.5
f56746cc2900258507d2b32c126f8db090db856f,448.1
1a4963b5fea8bb25c67750cdafbe84b01efad177,429.1
b520c940e62f4ed684417e7eacf00d85752060da,487.6
2e170cf2651ed448991af6fc5df15167733b2d8f,474.8
6efdd93a0ae289be6bb5a400bfc1deb077d75886,429.4
72ac2acc787d8cba0934cca3810ac091d792c8db,504.5
92a25eee14554806f081869cc9dac868fd1860fb,450.5
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,427.6
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,452.3
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,519.7
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,445.6
1730807e4916c5f7e8ab21e02ac5657bcea3e732,0.0
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,455.9
1a46d99716282410d1170f0f35069b34e34415d4,454.5
0467e022da4ef897f666bc76f31e1bc8976f7e92,465.1
993aca0d5eac6741117947c82a3647102096255e,448.1
94c96ade6ade21deb080bba6aad537fc4f195d47,494.7
36bb672077a46a3e4755cef90437a616d28bdf23,445.7
